0000000100021964-06-02       Bezalel          SimmelF1985-11-21
0000000100031959-12-03         Parto         BamfordM1986-08-28
0000000100041954-05-01     Chirstian         KoblickM1986-12-01
0000000100051955-01-21       Kyoichi        MaliniakM1989-09-12
0000000100061953-04-20        Anneke         PreusigF1989-06-02
0000000100071957-05-23       Tzvetan       ZielinskiF1989-02-10
0000000100081958-02-19        Saniya        KalloufiM1994-09-15
0000000100091952-04-19        Sumant            PeacF1985-02-18
0000000100101963-06-01     Duangkaew        PiveteauF1989-08-24
0000000100111953-11-07          Mary           SluisF1990-01-22
0000000100121960-10-04      Patricio       BridglandM1992-12-18
0000000100131963-06-07     Eberhardt          TerkkiM1985-10-20
0000000100141956-02-12         Berni           GeninM1987-03-11
0000000100151959-08-19      Guoxiang       NooteboomM1987-07-02
0000000100161961-05-02      Kazuhito     CappellettiM1995-01-27
